t,q1,q2,q3,q4,q5,q6,q7
1.185000,0.21175302,0.94005460,0.11304579,-0.64814867,-0.09729422,0.33326836,0.17148399
1.190000,0.21334170,0.94490688,0.11396803,-0.65146488,-0.09784093,0.33465912,0.17261132
1.195000,0.21493891,0.94975729,0.11489419,-0.65475883,-0.09838854,0.33603595,0.17374291
1.200000,0.21654464,0.95460580,0.11582425,-0.65803071,-0.09893703,0.33739894,0.17487874
1.205000,0.21815885,0.95945235,0.11675820,-0.66128076,-0.09948639,0.33874821,0.17601879
1.210000,0.21978152,0.96429689,0.11769602,-0.66450916,-0.10003660,0.34008386,0.17716305
1.215000,0.22141263,0.96913938,0.11863770,-0.66771613,-0.10058764,0.34140599,0.17831149
1.220000,0.22305215,0.97397975,0.11958324,-0.67090185,-0.10113951,0.34271470,0.17946410
1.225000,0.22470005,0.97881794,0.12053261,-0.67406653,-0.10169218,0.34401008,0.18062086
1.230000,0.22635630,0.98365390,0.12148581,-0.67721034,-0.10224564,0.34529224,0.18178176
1.235000,0.22802087,0.98848755,0.12244282,-0.68033346,-0.10279987,0.34656126,0.18294678
1.240000,0.22969375,0.99331883,0.12340363,-0.68343606,-0.10335487,0.34781723,0.18411590
1.245000,0.23137488,0.99814765,0.12436822,-0.68651833,-0.10391062,0.34906025,0.18528909
1.250000,0.23306426,1.00297395,0.12533660,-0.68958041,-0.10446710,0.35029039,0.18646636
1.255000,0.23476183,1.00779764,0.12630873,-0.69262248,-0.10502430,0.35150775,0.18764767
1.260000,0.23646758,1.01261864,0.12728462,-0.69564469,-0.10558221,0.35271241,0.18883302
1.265000,0.23818147,1.01743686,0.12826425,-0.69864718,-0.10614082,0.35390444,0.19002238
1.270000,0.23990346,1.02225222,0.12924760,-0.70163011,-0.10670012,0.35508392,0.19121574
1.275000,0.24163352,1.02706462,0.13023466,-0.70459361,-0.10726009,0.35625094,0.19241308
1.280000,0.24337162,1.03187397,0.13122542,-0.70753783,-0.10782072,0.35740557,0.19361438
1.285000,0.24511773,1.03668016,0.13221987,-0.71046289,-0.10838200,0.35854787,0.19481962
1.290000,0.24687179,1.04148311,0.13321799,-0.71336893,-0.10894392,0.35967793,0.19602880
1.295000,0.24863379,1.04628270,0.13421977,-0.71625606,-0.10950647,0.36079582,0.19724189
1.300000,0.25040368,1.05107883,0.13522520,-0.71912442,-0.11006964,0.36190159,0.19845887
1.305000,0.25218141,1.05587139,0.13623426,-0.72197411,-0.11063341,0.36299533,0.19967972
1.310000,0.25396697,1.06066028,0.13724693,-0.72480525,-0.11119779,0.36407708,0.20090444
1.315000,0.25576029,1.06544536,0.13826322,-0.72761795,-0.11176276,0.36514693,0.20213300
1.320000,0.25756135,1.07022654,0.13928309,-0.73041231,-0.11232831,0.36620493,0.20336538
1.325000,0.25937010,1.07500369,0.14030654,-0.73318844,-0.11289443,0.36725115,0.20460157
1.330000,0.26118650,1.07977669,0.14133355,-0.73594643,-0.11346111,0.36828564,0.20584155
1.335000,0.26301051,1.08454542,0.14236411,-0.73868638,-0.11402835,0.36930846,0.20708530
1.340000,0.26484207,1.08930976,0.14339820,-0.74140838,-0.11459613,0.37031968,0.20833280
1.345000,0.26668116,1.09406957,0.14443580,-0.74411253,-0.11516445,0.37131934,0.20958404
1.350000,0.26852772,1.09882473,0.14547691,-0.74679890,-0.11573331,0.37230751,0.21083899
1.355000,0.27038171,1.10357510,0.14652150,-0.74946758,-0.11630268,0.37328425,0.21209765
1.360000,0.27224307,1.10832056,0.14756956,-0.75211864,-0.11687257,0.37424959,0.21335998
1.365000,0.27411177,1.11306097,0.14862108,-0.75475218,-0.11744297,0.37520361,0.21462598
1.370000,0.27598775,1.11779619,0.14967603,-0.75736825,-0.11801387,0.37614634,0.21589562
1.375000,0.27787097,1.12252609,0.15073440,-0.75996694,-0.11858526,0.37707785,0.21716888
1.380000,0.27976137,1.12725052,0.15179616,-0.76254830,-0.11915714,0.37799817,0.21844575
1.385000,0.28165891,1.13196934,0.15286132,-0.76511241,-0.11972950,0.37890737,0.21972621
1.390000,0.28356353,1.13668241,0.15392984,-0.76765934,-0.12030234,0.37980549,0.22101023
1.395000,0.28547517,1.14138959,0.15500170,-0.77018914,-0.12087564,0.38069258,0.22229780
1.400000,0.28739379,1.14609072,0.15607690,-0.77270187,-0.12144941,0.38156869,0.22358890
1.405000,0.28931934,1.15078567,0.15715540,-0.77519760,-0.12202363,0.38243387,0.22488351
